date,report_org_code,org_code,activity,activity_short,state,township,beneficiaries,unique_beneficiaries
01/01/2021,org_7298,org_7298,Provide fishery kits,fishery kits,Rakhine,Pauktaw,643,Yes
01/01/2021,org_7298,org_7298,Cash for Work / Food for Assets,food_cash for work_assets,Rakhine,Pauktaw,754,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Ann,404,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Ann,112,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Ann,1589,Yes
01/01/2021,org_2690,org_8004,Provide monthly cash-based transfers,food distribution,Rakhine,Kyaukpyu,1008,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,1774,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,451,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,359,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,241,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,1482,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,633,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,388,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,118,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,3338,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,182,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,508,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,512,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,74,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,125,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,822,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,1241,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,600,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,188,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,196,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,192,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,145,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Kyauktaw,229,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,833,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,126,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,104,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,18,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,45,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,251,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,126,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,921,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,200,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,500,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,167,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,371,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,312,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,108,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,145,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Minbya,29,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,315,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,412,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,225,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,359,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,300,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,130,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,649,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,171,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,325,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,708,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,121,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,116,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,392,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,2412,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,1188,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,484,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,851,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,788,Yes
01/01/2021,org_2690,org_2690,Provide monthly cash-based transfers,food distribution,Rakhine,Mrauk-U,908,Yes
